id,movie_id,info_type_id,info,note
6961132,2487558,3,Documentary,
6871096,2429487,3,Adventure,
2349929,2380475,98,"In Victorian England, the uncle of orphaned niece Flora and nephew Miles hires Miss Giddens as governess to raise the children at his estate with total independence and authority. Soon after her arrival, Miss Giddens comes to believe that the spirits of the former governess Miss Jessel and valet Peter Quint are possessing the children. Miss Giddens decides to help the children to face and exorcise the spirits.","Claudio Carvalho, Rio de Janeiro, Brazil"
5981181,1871806,3,Documentary,
7931952,2114919,4,Greek,
4237907,336648,8,Sweden,
11852949,184339,16,UK:15 February 2002,
6330524,2101522,3,Comedy,
13847810,1958453,16,Germany:18 June 2006,
5455993,2496357,8,USA,
6769460,2375798,3,Short,
10205240,2395428,6,4-Track Stereo,(35 mm magnetic prints)
11493874,2401794,7,PCS:Spherical,
7085532,250405,4,English,
3352878,1674650,2,Color,
3508829,1838868,2,Color,
14798048,2318730,9,The War on Terror has a New Hero,
11839799,172059,16,Germany:18 October 2007,
3402244,1727173,2,Color,
6359725,2120760,3,Drama,
2312189,2232606,98,"RASA YATRA evokes the beauty of pilgrimage and explores the essence of devotion in Hindu culture through non-linear narrative. Rasa is Sanskrit for \juice\"" or \""taste\"". Yatra means \""journey\""", suggesting a joyful inner expedition
7919659,2102184,4,Italian,
5070876,2131417,8,Canada,
2006330,2265225,91,"Hall, Angus. \Scars of Dracula"," The\"". Beagle Books"
10952120,1954984,7,RAT:1.85 : 1,
246313,172006,15,"Dr. Lance Sweets: Daisy just wants to pick up where we left off, and I don't know whether to...::Special Agent Seeley Booth: Move on.::Dr. Lance Sweets: Yeah. Like you did.::Special Agent Seeley Booth: You know what? You aked my opinion, right? I'm going to give it to you. Listening? Give yourself a chance to be happy. Move on.::Dr. Lance Sweets: Did that work for you?::Special Agent Seeley Booth: Yeah. It did. It did.",
12728890,1008896,16,Spain:23 August 1970,
12837610,1111296,16,France:19 March 2006,
2102936,602594,98,"Kane has a monumental request for Irene: to raise his son Ollie to spare the boy a life of being on the run. She's reluctant and warns the fostering system is beyond their control. Alf gets Jack and Rick to train a class of 'lifeguard nippers' each. Jack helps little Jamie Cooper, nurse Julie's shy son, over his fear of jellyfish, then tries to contact Rory again. Ross finally tells Morag he has a living wife.",KGF Vissers
13359698,1606092,16,Ireland:23 October 2009,
1784662,1823216,70,1.33 : 1,
10212552,2410107,6,Silent,
4648699,1734180,8,West Germany,
2326030,2291137,98,"The Old West comes to life in this tale of a drifter, named Lane McCrae, whose life is torn asunder when an outlaw murders his family. With his dying words he makes a pact with the Devil (played by Don Stark of That '70s Show). Now five years later and only months after the conclusion of the Civil War, Lane renews his search for the outlaw Dillon. However, Dillon is not Lane's only prey as his deal with the Devil has him hunting rogue Demons and Angels alike. When his ex-lover, Elizabeth, resurfaces, all hell breaks loose",Anonymous
7951074,2135251,4,Czech,(only a few words)
4532375,1582464,8,USA,
2446249,1272218,5,Australia:G,
9430038,1985336,1,146,
14339697,2297346,16,USA:30 October 1954,
10076393,2049849,6,Silent,
7445193,1527707,4,English,
13438336,1671126,16,India:1989,
14731525,1828848,9,"When the theater goes dark, the roof blows off.",
6871925,2429921,3,Romance,
10927883,1939232,7,RAT:1.78 : 1,
1683809,1710361,103,Christian Thomas Roaas,
13407749,1647703,16,Greece:October 2010,(Patras International Festival of Cinema & Culture)
14037279,2082878,16,Mexico:4 February 2000,
6898485,2446218,3,Short,
11978448,314144,16,Germany:20 September 2008,
633570,2065994,15,Leprechaun: Little girls shouldn't look for four leaf clovers.,
10467232,1189489,7,RAT:1.33 : 1,
12658830,940589,16,USA:19 November 2010,
13866451,1970975,16,France:23 July 2003,
13533524,1739835,16,Israel:24 June 2004,
7834611,2013346,4,Danish,
7207653,716112,4,English,
9884143,1271379,6,Mono,
