ss_sold_date_sk,ss_sold_time_sk,ss_item_sk,ss_customer_sk,ss_cdemo_sk,ss_hdemo_sk,ss_addr_sk,ss_store_sk,ss_promo_sk,ss_ticket_number,ss_quantity,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_discount_amt,ss_ext_sales_price,ss_ext_wholesale_cost,ss_ext_list_price,ss_ext_tax,ss_coupon_amt,ss_net_paid,ss_net_paid_inc_tax,ss_net_profit
2452072,72819,55457,703573,663318,1243,174763,144,446,7606289,35,100.00,194.00,194.00,0.00,6790.00,3500.00,6790.00,475.30,0.00,6790.00,7265.30,3290.00
2451890,45010,7735,557958,1571779,3951,357453,144,259,6360270,90,1.00,1.42,0.75,8.10,67.50,90.00,127.80,0.59,8.10,59.40,59.99,-30.60
2452673,64342,11563,110766,1189903,1787,191050,80,382,10993304,30,42.68,109.68,6.58,0.00,197.40,1280.40,3290.40,11.84,0.00,197.40,209.24,-1083.00
2451308,61377,19750,238975,789179,1480,8272,144,487,2752395,64,42.68,91.76,67.90,0.00,4345.60,2731.52,5872.64,86.91,0.00,4345.60,4432.51,1614.08
2452538,54134,49989,701515,595771,4673,2800,144,77,10227891,83,32.26,82.90,82.90,0.00,6880.70,2677.58,6880.70,0.00,0.00,6880.70,6880.70,4203.12
2452540,70996,8533,115573,1490963,1253,110014,50,503,10245595,70,11.42,14.96,3.29,48.36,230.30,799.40,1047.20,12.73,48.36,181.94,194.67,-617.46
2452097,34640,20037,607084,1546055,289,129177,122,464,7883574,2,27.05,35.43,35.43,0.00,70.86,54.10,70.86,4.25,0.00,70.86,75.11,16.76
2452320,58003,22770,240215,1274881,349,22706,94,448,8946799,69,21.84,40.18,17.27,643.48,1191.63,1506.96,2772.42,16.44,643.48,548.15,564.59,-958.81
2451388,41680,19750,745856,1577510,4197,349234,128,504,3221516,76,27.05,38.41,34.56,0.00,2626.56,2055.80,2919.16,157.59,0.00,2626.56,2784.15,570.76
2452061,66902,5633,204901,1855699,1159,117811,86,96,7488121,100,21.84,51.54,19.06,0.00,1906.00,2184.00,5154.00,114.36,0.00,1906.00,2020.36,-278.00
2451665,32957,54877,678234,1542762,1179,49864,144,79,4499713,82,68.73,68.73,25.43,0.00,2085.26,5635.86,5635.86,145.96,0.00,2085.26,2231.22,-3550.60
2451564,71935,20780,71117,1280019,5472,325174,106,96,4082439,7,32.26,96.78,61.93,0.00,433.51,225.82,677.46,0.00,0.00,433.51,433.51,207.69
2450856,64760,10738,338401,1222785,4318,32239,98,212,358130,38,32.26,66.13,24.46,408.97,929.48,1225.88,2512.94,36.43,408.97,520.51,556.94,-705.37
2451894,36484,60647,695535,1489920,1180,146628,144,278,6398591,57,42.68,100.72,69.49,0.00,3960.93,2432.76,5741.04,158.43,0.00,3960.93,4119.36,1528.17
2451789,44183,12263,321953,1504292,5106,209914,86,247,5376997,25,100.00,184.00,126.96,1777.44,3174.00,2500.00,4600.00,83.79,1777.44,1396.56,1480.35,-1103.44
2452511,73215,19752,294697,1672619,53,45647,144,24,9967764,68,58.31,156.27,140.64,4877.39,9563.52,3965.08,10626.36,46.86,4877.39,4686.13,4732.99,721.05
2452118,61258,13981,549050,104253,113,152609,144,397,8119989,15,21.84,46.95,27.23,0.00,408.45,327.60,704.25,24.50,0.00,408.45,432.95,80.85
2450984,42691,22768,677440,562071,1912,18816,109,258,1029289,70,11.42,23.41,12.40,0.00,868.00,799.40,1638.70,8.68,0.00,868.00,876.68,68.60
2452003,39358,48751,530896,1258781,6652,269223,80,76,7061565,12,53.10,125.31,125.31,0.00,1503.72,637.20,1503.72,45.11,0.00,1503.72,1548.83,866.52
2450949,43899,20036,124681,1188109,1920,102971,122,104,712511,57,27.05,66.81,35.40,0.00,2017.80,1541.85,3808.17,60.53,0.00,2017.80,2078.33,475.95
,,36048,,483671,1909,,,363,11796810,,42.68,118.65,,0.00,,,9847.95,,0.00,7779.59,7857.38,
2450975,37077,53791,75056,128976,4134,28742,50,320,946862,4,11.42,34.26,3.76,0.00,15.04,45.68,137.04,0.15,0.00,15.04,15.19,-30.64
2452099,59573,60819,485821,1174633,6082,132501,86,14,7902235,4,42.68,100.72,58.41,0.00,233.64,170.72,402.88,2.33,0.00,233.64,235.97,62.92
2452832,66087,41214,21735,1563231,6340,9210,86,40,11680353,20,27.05,27.05,24.34,481.93,486.80,541.00,541.00,0.43,481.93,4.87,5.30,-536.13
,,20743,,90545,,71510,144,,11735946,,,83.21,70.72,0.00,,4891.04,6407.17,272.27,0.00,5445.44,,554.40
2451782,69321,14834,652850,1737513,960,5448,22,99,5316912,36,42.68,51.64,35.63,0.00,1282.68,1536.48,1859.04,89.78,0.00,1282.68,1372.46,-253.80
2451795,30168,10241,192940,1188008,4266,25068,104,5,5418354,66,1.00,2.05,0.55,0.00,36.30,66.00,135.30,2.17,0.00,36.30,38.47,-29.70
2452689,45428,60819,656706,1318273,1889,58199,73,61,11123952,69,84.36,92.79,53.81,0.00,3712.89,5820.84,6402.51,37.12,0.00,3712.89,3750.01,-2107.95
2452222,70993,19751,712992,1318133,4787,251218,91,412,8619237,53,42.68,69.56,11.12,436.12,589.36,2262.04,3686.68,6.12,436.12,153.24,159.36,-2108.80
2450954,52022,5503,306931,1187619,1194,12642,144,151,752057,38,53.10,69.56,7.65,229.65,290.70,2017.80,2643.28,1.22,229.65,61.05,62.27,-1956.75
2452867,63238,20037,69677,709481,3680,13206,52,269,11897520,48,11.42,25.80,24.51,0.00,1176.48,548.16,1238.40,70.58,0.00,1176.48,1247.06,628.32
2451694,70136,22769,716370,414283,4458,156407,144,395,4614995,43,84.36,128.22,14.10,0.00,606.30,3627.48,5513.46,0.00,0.00,606.30,606.30,-3021.18
2451810,31206,23981,666973,149690,4252,195201,76,215,5531907,58,6.21,8.81,0.96,0.00,55.68,360.18,510.98,1.11,0.00,55.68,56.79,-304.50
2451401,68398,25810,154632,280251,4187,164071,144,371,3341084,4,84.36,208.36,208.36,0.00,833.44,337.44,833.44,75.00,0.00,833.44,908.44,496.00
,41968,14834,599037,,,,,219,6583362,99,73.94,81.33,,,2978.91,,8051.67,268.10,,,,
2451649,45694,54883,367515,1296341,6006,133604,37,30,4437460,26,27.05,52.47,11.54,189.02,300.04,703.30,1364.22,3.33,189.02,111.02,114.35,-592.28
2451221,43644,19750,382082,657361,2268,125338,32,454,2188963,73,27.05,27.05,18.66,0.00,1362.18,1974.65,1974.65,95.35,0.00,1362.18,1457.53,-612.47
2452555,39555,1141,438177,1541081,326,135024,80,475,10384509,11,11.42,13.81,3.72,0.00,40.92,125.62,151.91,2.04,0.00,40.92,42.96,-84.70
2452023,46986,25811,648755,672959,765,106033,73,182,7181826,39,21.84,28.61,19.74,0.00,769.86,851.76,1115.79,53.89,0.00,769.86,823.75,-81.90
2451846,49324,54877,561886,1469647,6380,123483,55,259,5865131,100,11.42,24.55,13.01,117.09,1301.00,1142.00,2455.00,106.55,117.09,1183.91,1290.46,41.91
2451844,33526,25922,97194,651452,6710,25291,55,154,5844667,25,27.05,38.41,28.42,0.00,710.50,676.25,960.25,63.94,0.00,710.50,774.44,34.25
2452097,35837,40225,156564,1193213,1788,12522,88,143,7879831,32,42.68,91.76,33.95,0.00,1086.40,1365.76,2936.32,65.18,0.00,1086.40,1151.58,-279.36
2452562,70036,51273,358148,1229399,6966,40173,86,26,10445384,39,89.57,173.76,137.27,2141.41,5353.53,3493.23,6776.64,160.60,2141.41,3212.12,3372.72,-281.11
2452535,48050,60819,243302,668712,133,307050,121,265,10203246,19,58.31,70.55,33.86,0.00,643.34,1107.89,1340.45,32.16,0.00,643.34,675.50,-464.55
2451973,69011,19411,357468,478291,2250,95861,8,52,6840006,100,58.31,82.80,13.24,0.00,1324.00,5831.00,8280.00,52.96,0.00,1324.00,1376.96,-4507.00
2452409,56249,49471,66755,678613,1243,297098,109,404,9297955,69,27.05,63.83,14.04,0.00,968.76,1866.45,4404.27,87.18,0.00,968.76,1055.94,-897.69
2452106,65086,16295,665378,1473619,3979,26905,49,251,7979679,45,47.89,72.79,11.64,0.00,523.80,2155.05,3275.55,5.23,0.00,523.80,529.03,-1631.25
2450851,48512,4960,321429,115889,1249,6990,49,97,313800,42,11.42,22.15,18.82,0.00,790.44,479.64,930.30,55.33,0.00,790.44,845.77,310.80
2452611,43062,15805,182211,1227691,1084,272617,144,142,10692564,67,11.42,23.41,14.98,0.00,1003.66,765.14,1568.47,30.10,0.00,1003.66,1033.76,238.52
2452154,37215,20037,272624,1848905,3852,178038,56,19,8375685,6,84.36,163.65,112.91,602.93,677.46,506.16,981.90,6.70,602.93,74.53,81.23,-431.63
2451734,38111,30290,619325,1238862,1124,282352,144,40,4786551,84,11.42,24.55,15.71,1134.89,1319.64,959.28,2062.20,5.54,1134.89,184.75,190.29,-774.53
2452133,38762,54003,290498,745190,4333,29253,76,334,8288685,88,100.00,215.00,47.30,0.00,4162.40,8800.00,18920.00,332.99,0.00,4162.40,4495.39,-4637.60
2452844,61265,22770,41646,1378603,3883,59519,50,40,11733343,31,58.31,125.36,99.03,0.00,3069.93,1807.61,3886.16,214.89,0.00,3069.93,3284.82,1262.32
2451860,51129,54877,504810,1190103,753,130069,144,69,6002560,76,11.42,18.61,8.00,0.00,608.00,867.92,1414.36,42.56,0.00,608.00,650.56,-259.92
2452401,38158,51273,455490,1738513,1287,60045,128,452,9260937,39,32.26,42.26,29.15,0.00,1136.85,1258.14,1648.14,102.31,0.00,1136.85,1239.16,-121.29
2451378,39943,47570,185726,1497571,5443,366704,,52,3158233,,,,,0.00,5699.97,,8906.61,455.99,0.00,5699.97,6155.96,-1660.98
2451339,68156,14834,188383,1272433,1368,250823,128,21,2937285,88,47.89,98.17,67.73,0.00,5960.24,4214.32,8638.96,298.01,0.00,5960.24,6258.25,1745.92
2452808,46618,51273,538412,1105182,708,212854,144,272,11621654,41,27.05,49.77,47.28,0.00,1938.48,1109.05,2040.57,155.07,0.00,1938.48,2093.55,829.43
,,27409,,1745300,4791,,,,3595130,,32.26,,,,5731.56,,6033.45,57.31,,5731.56,,2924.94
2451236,62644,4795,,,,83540,,161,2389989,,,,128.31,,,,,69.28,,3464.37,3533.65,1045.98
2452062,49427,20037,306716,1463181,1094,35361,121,226,7498655,41,37.47,45.33,21.75,642.06,891.75,1536.27,1858.53,7.49,642.06,249.69,257.18,-1286.58
2452505,49073,25812,563044,1816787,1908,212562,52,412,9905924,90,27.05,69.51,22.24,0.00,2001.60,2434.50,6255.90,80.06,0.00,2001.60,2081.66,-432.90
2451624,33895,19751,414084,1221920,544,69470,144,475,4389142,59,100.00,131.00,41.92,0.00,2473.28,5900.00,7729.00,24.73,0.00,2473.28,2498.01,-3426.72
